path,file_type,status,categories_pd,counts_by_category,uz_level,estimated_volume,processing_time_sec
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\.ipynb_checkpoints\Untitled-checkpoint.ipynb,ipynb,unsupported,,,NO_PD,none,0.0016
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\.ipynb_checkpoints\crowler-checkpoint.ipynb,ipynb,unsupported,,,NO_PD,none,0.0044
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\.ipynb_checkpoints\pii_scan_results-checkpoint.csv,csv,ok,phone; inn; bank_card; snils; email,phone:16; inn:11; bank_card:123; snils:2; email:1,UZ-2,medium,2.3773
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\.ipynb_checkpoints\pii_scanner_hackathon-checkpoint.ipynb,ipynb,unsupported,,,NO_PD,none,0.0016
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\.ipynb_checkpoints\test-checkpoint.ipynb,ipynb,unsupported,,,NO_PD,none,0.0046
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\.ipynb_checkpoints\toc-checkpoint.txt,txt,unsupported,,,NO_PD,none,0.0048
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\HACKATHON_CASE.md,md,unsupported,,,NO_PD,none,0.0043
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\lost+found\#349389,unknown,unsupported,,,NO_PD,none,0.0056
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\lost+found\#469418,unknown,unsupported,,,NO_PD,none,0.0019
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\lost+found\#591990,unknown,unsupported,,,NO_PD,none,0.0048
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\lost+found\#607968,unknown,unsupported,,,NO_PD,none,0.0055
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\lost+found\#685295,unknown,unsupported,,,NO_PD,none,0.005
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\lost+found\#872002,unknown,unsupported,,,NO_PD,none,0.0031
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\lost+found\#942021,unknown,unsupported,,,NO_PD,none,0.0052
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\lost+found\#958615,unknown,unsupported,,,NO_PD,none,0.0062
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza00d00\50308888-8889.tif,image,ok,,,NO_PD,none,0.0139
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza01f00\0011839665.tif,image,ok,,,NO_PD,none,0.0116
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza04e00\2040765768.tif,image,ok,,,NO_PD,none,0.0137
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza17e00\2031309105.tif,image,ok,,,NO_PD,none,0.0133
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza20e00\04303523-a.tif,image,ok,,,NO_PD,none,0.0133
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza23d00\513327776_513327782.tif,image,ok,,,NO_PD,none,0.011
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza27d00\2075165787.tif,image,ok,,,NO_PD,none,0.0121
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza29e00\2501172233_2501172290.tif,image,ok,,,NO_PD,none,0.0125
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza42d00\2050801870_1873.tif,image,ok,,,NO_PD,none,0.0129
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza43e00\2042537535.tif,image,ok,,,NO_PD,none,0.0124
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza44e00\2023086413.tif,image,ok,,,NO_PD,none,0.0127
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza49e00\2501298013.tif,image,ok,,,NO_PD,none,0.0134
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza50f00\0000269666.tif,image,ok,,,NO_PD,none,0.0129
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza51c00\2085779941.tif,image,ok,,,NO_PD,none,0.0135
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza54c00\80702501.tif,image,ok,,,NO_PD,none,0.0128
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza57d00\2048755106.tif,image,ok,,,NO_PD,none,0.0141
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza58c00\2083822795.tif,image,ok,,,NO_PD,none,0.013
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza61e00\00620531.tif,image,ok,,,NO_PD,none,0.0118
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza65e00\2046440775.tif,image,ok,,,NO_PD,none,0.0129
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza70e00\92023499_92023505.tif,image,ok,,,NO_PD,none,0.0136
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza81c00\2501741170_1183.tif,image,ok,,,NO_PD,none,0.0133
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza90d00\522746807+-6808.tif,image,ok,,,NO_PD,none,0.0141
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza93c00\2057800212.tif,image,ok,,,NO_PD,none,0.0146
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza94a00\2063196920.tif,image,ok,,,NO_PD,none,0.0139
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza94d00\505945066_505945074.tif,image,ok,,,NO_PD,none,0.0154
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza96e00\2057680263.tif,image,ok,,,NO_PD,none,0.0136
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\a\zza99d00\500068563.tif,image,ok,,,NO_PD,none,0.0142
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\b\zzb02a00\2023382980_2023382987.tif,image,ok,,,NO_PD,none,0.0139
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\b\zzb02c00\2080731994.tif,image,ok,,,NO_PD,none,0.0153
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\b\zzb03e00\2046468258.tif,image,ok,,,NO_PD,none,0.0141
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\b\zzb06d00\50491022-1023.tif,image,ok,,,NO_PD,none,0.0139
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\b\zzb09d00\50426112-6114.tif,image,ok,,,NO_PD,none,0.0147
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\b\zzb10a00\10350601_10350605.tif,image,ok,,,NO_PD,none,0.0151
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\b\zzb11d00\519689266+-9274.tif,image,ok,,,NO_PD,none,0.0145
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Архив сканы\b\zzb14c00\2069729124.tif,image,ok,,,NO_PD,none,0.0161
